Timestamp,Human readable date,Voltaje Batería,Context
1581401105895,2020-02-11 03:05:05,4.083641,b'{}'
1581400851290,2020-02-11 03:00:51,4.0526156,b'{}'
1581400353875,2020-02-11 02:52:33,4.089694,b'{}'
1581399450519,2020-02-11 02:37:30,4.090009,b'{}'
1581398548544,2020-02-11 02:22:28,4.0899873,b'{}'
1581397646471,2020-02-11 02:07:26,4.090377,b'{}'
1581396742702,2020-02-11 01:52:22,4.094294,b'{}'
1581395840453,2020-02-11 01:37:20,4.0926094,b'{}'
1581394938613,2020-02-11 01:22:18,4.089595,b'{}'
1581394036415,2020-02-11 01:07:16,4.093441,b'{}'
1581393133589,2020-02-11 00:52:13,4.0908575,b'{}'
1581392232439,2020-02-11 00:37:12,4.090421,b'{}'
1581391328561,2020-02-11 00:22:08,4.090957,b'{}'
1581390425709,2020-02-11 00:07:05,4.094069,b'{}'
1581389522644,2020-02-10 23:52:02,4.0921545,b'{}'
1581388620088,2020-02-10 23:37:00,4.094816,b'{}'
1581387717493,2020-02-10 23:21:57,4.0900803,b'{}'
1581386815293,2020-02-10 23:06:55,4.085885,b'{}'
1581385911482,2020-02-10 22:51:51,4.089446,b'{}'
1581385008628,2020-02-10 22:36:48,4.0895796,b'{}'
1581384105598,2020-02-10 22:21:45,4.08955,b'{}'
1581383203311,2020-02-10 22:06:43,4.0956798,b'{}'
1581382299577,2020-02-10 21:51:39,4.093607,b'{}'
1581381397483,2020-02-10 21:36:37,4.088876,b'{}'
1581379592710,2020-02-10 21:06:32,4.0933,b'{}'
1581378689491,2020-02-10 20:51:29,4.08644,b'{}'
1581375981379,2020-02-10 20:06:21,4.0927286,b'{}'
1581374176473,2020-02-10 19:36:16,4.0925293,b'{}'
1581373274331,2020-02-10 19:21:14,4.090802,b'{}'
1581372371388,2020-02-10 19:06:11,4.095158,b'{}'
1581371469214,2020-02-10 18:51:09,4.091591,b'{}'
1581370565279,2020-02-10 18:36:05,4.0874214,b'{}'
1581369663245,2020-02-10 18:21:03,4.0936327,b'{}'
1581368830678,2020-02-10 18:07:10,4.09008,b'{}'
1581368773477,2020-02-10 18:06:13,4.09008,b'{}'
1581367856575,2020-02-10 17:50:56,4.091754,b'{}'
1581366953465,2020-02-10 17:35:53,4.0930414,b'{}'
1581366051208,2020-02-10 17:20:51,4.091222,b'{}'
1581365149194,2020-02-10 17:05:49,4.0874863,b'{}'
1581364247064,2020-02-10 16:50:47,4.0905704,b'{}'
1581363346010,2020-02-10 16:35:46,4.0927973,b'{}'
1581361539985,2020-02-10 16:05:39,4.094549,b'{}'
1581360636130,2020-02-10 15:50:36,4.091543,b'{}'
1581359732277,2020-02-10 15:35:32,4.091126,b'{}'
1581357927251,2020-02-10 15:05:27,4.090393,b'{}'
1581356123160,2020-02-10 14:35:23,4.0969915,b'{}'
1581355220187,2020-02-10 14:20:20,4.093516,b'{}'
1581354317582,2020-02-10 14:05:17,4.089616,b'{}'
1581353414143,2020-02-10 13:50:14,4.091222,b'{}'
1581352512021,2020-02-10 13:35:12,4.0909796,b'{}'
1581351609080,2020-02-10 13:20:09,4.091486,b'{}'
1581350706388,2020-02-10 13:05:06,4.089458,b'{}'
1581350526548,2020-02-10 13:02:06,4.05076,b'{}'
1581350499640,2020-02-10 13:01:39,4.05076,b'{}'
1581349893212,2020-02-10 12:51:33,4.093124,b'{}'
1581348989081,2020-02-10 12:36:29,4.097848,b'{}'
1581348087078,2020-02-10 12:21:27,4.092398,b'{}'
1581347185113,2020-02-10 12:06:25,4.0925503,b'{}'
1581346282338,2020-02-10 11:51:22,4.0906672,b'{}'
1581345379169,2020-02-10 11:36:19,4.094667,b'{}'
1581344477983,2020-02-10 11:21:17,4.0923038,b'{}'
1581343575055,2020-02-10 11:06:15,4.09217,b'{}'
1581342672053,2020-02-10 10:51:12,4.0894184,b'{}'
1581341769060,2020-02-10 10:36:09,4.0924864,b'{}'
1581340866890,2020-02-10 10:21:06,4.090497,b'{}'
1581339963210,2020-02-10 10:06:03,4.098608,b'{}'
1581339061110,2020-02-10 09:51:01,4.0959244,b'{}'
1581338159325,2020-02-10 09:35:59,4.0887547,b'{}'
1581337257878,2020-02-10 09:20:57,4.092173,b'{}'
1581336354987,2020-02-10 09:05:54,4.094329,b'{}'
1581335453057,2020-02-10 08:50:53,4.0888844,b'{}'
1581334551011,2020-02-10 08:35:51,4.090425,b'{}'
1581333649059,2020-02-10 08:20:49,4.0970535,b'{}'
1581332745275,2020-02-10 08:05:45,4.089866,b'{}'
1581331842801,2020-02-10 07:50:42,4.0895643,b'{}'
1581330940142,2020-02-10 07:35:40,4.0933533,b'{}'
1581330038081,2020-02-10 07:20:38,4.0952816,b'{}'
1581329135896,2020-02-10 07:05:35,4.093292,b'{}'
1581328234516,2020-02-10 06:50:34,4.0942593,b'{}'
1581327330975,2020-02-10 06:35:30,4.0895214,b'{}'
1581326429099,2020-02-10 06:20:29,4.0904937,b'{}'
1581325525468,2020-02-10 06:05:25,4.091795,b'{}'
1581324622871,2020-02-10 05:50:22,4.0880833,b'{}'
1581323720097,2020-02-10 05:35:20,4.09478,b'{}'
1581322817976,2020-02-10 05:20:17,4.0900087,b'{}'
1581321916033,2020-02-10 05:05:16,4.0896745,b'{}'
1581321014071,2020-02-10 04:50:14,4.092134,b'{}'
1581320111161,2020-02-10 04:35:11,4.091479,b'{}'
1581319208880,2020-02-10 04:20:08,4.0891867,b'{}'
1581318306960,2020-02-10 04:05:06,4.0890403,b'{}'
1581318053358,2020-02-10 04:00:53,4.0536165,b'{}'
1581317421016,2020-02-10 03:50:21,4.090559,b'{}'
1581316517883,2020-02-10 03:35:17,4.091114,b'{}'
1581315615972,2020-02-10 03:20:15,4.0929756,b'{}'
1581314714803,2020-02-10 03:05:14,4.0888495,b'{}'
1581313810892,2020-02-10 02:50:10,4.095158,b'{}'
1581312908881,2020-02-10 02:35:08,4.09007,b'{}'
1581312006875,2020-02-10 02:20:06,4.0878887,b'{}'
1581311104506,2020-02-10 02:05:04,4.0821667,b'{}'
1581310852071,2020-02-10 02:00:52,4.0440874,b'{}'
1581310213830,2020-02-10 01:50:13,4.0900908,b'{}'
1581309311197,2020-02-10 01:35:11,4.090857,b'{}'
1581308408164,2020-02-10 01:20:08,4.095498,b'{}'
1581307505682,2020-02-10 01:05:05,4.0859785,b'{}'
1581307252987,2020-02-10 01:00:52,4.054674,b'{}'
1581306616138,2020-02-10 00:50:16,4.091239,b'{}'
1581305713725,2020-02-10 00:35:13,4.0904436,b'{}'
1581304811289,2020-02-10 00:20:11,4.087598,b'{}'
1581303907218,2020-02-10 00:05:07,4.0455723,b'{}'
1581303655024,2020-02-10 00:00:55,4.051432,b'{}'
1581303102612,2020-02-09 23:51:42,4.0863924,b'{}'
1581302197802,2020-02-09 23:36:37,4.0902157,b'{}'
1581301295023,2020-02-09 23:21:35,4.087696,b'{}'
1581300392810,2020-02-09 23:06:32,4.0903454,b'{}'
1581299491647,2020-02-09 22:51:31,4.0872536,b'{}'
1581298589283,2020-02-09 22:36:29,4.092908,b'{}'
1581297685756,2020-02-09 22:21:25,4.0898886,b'{}'
1581296782736,2020-02-09 22:06:22,4.0859466,b'{}'
1581295880815,2020-02-09 21:51:20,4.092012,b'{}'
1581294978799,2020-02-09 21:36:18,4.0956354,b'{}'
1581294077234,2020-02-09 21:21:17,4.0833616,b'{}'
1581293172733,2020-02-09 21:06:12,4.0898867,b'{}'
1581292269952,2020-02-09 20:51:09,4.0951147,b'{}'
1581291367730,2020-02-09 20:36:07,4.091607,b'{}'
1581290464625,2020-02-09 20:21:04,4.0968575,b'{}'
1581289562857,2020-02-09 20:06:02,4.087162,b'{}'
1581288659643,2020-02-09 19:50:59,4.0935984,b'{}'
1581287756607,2020-02-09 19:35:56,4.0927057,b'{}'
1581286853764,2020-02-09 19:20:53,4.0919743,b'{}'
1581285952624,2020-02-09 19:05:52,4.08909,b'{}'
1581285049557,2020-02-09 18:50:49,4.085857,b'{}'
1581284145921,2020-02-09 18:35:45,4.0893393,b'{}'
1581283243669,2020-02-09 18:20:43,4.0877895,b'{}'
